Nº Usina,REE,Vol. Arm. Inicial %,Vaz. Def. Min,Evap,Estágio,Vol. Morto Inicial,Lim. Sup. Vertimento,Balanço Hídrico Fio D'água
1,10,"78,35",,1,,,,
2,10,"0,0",,1,,,,
4,10,"0,0",,1,,,,
24,10,"28,73",,1,,,,
27,10,"50,07",,1,,,,
28,10,"0,0",,1,,,,
25,10,"35,08",,1,,,,
156,1,"94,45",,1,,,,
134,1,"0,0",,1,,,,
10,10,"0,0",,1,,,,
143,1,"0,0",,1,,,,
162,1,"61,76",,1,,,,
148,1,"55,24",,1,,,,
217,1,"0,0",,1,,,,
193,1,"0,0",,1,,,,
141,1,"0,0",,1,,,,
14,10,"96,10",,1,,,,
18,10,"47,00",,1,,,,
37,10,"87,70",,1,,,,
40,10,"87,60",,1,,,,
42,10,"0,0",,1,,,,
15,10,"0,0",,1,,,,
16,10,"0,0",,1,,,,
38,10,"0,0",,1,,,,
39,10,"0,0",,1,,,,
62,12,"0,0",,1,,,,
63,12,"0,0",,1,,,,
52,12,"0,0",,1,,,,
51,12,"0,0",,1,,,,
47,12,"47,14",,1,,,,
49,12,"25,86",,1,,,,
61,12,"42,22",,1,,,,
50,12,"0,0",,1,,,,
46,10,"0,0",,1,,,,
120,1,"75,78",,1,,,,
121,1,"49,36",,1,,,,
6,10,"49,40",,1,,,,
7,10,"79,00",,1,,,,
8,10,"0,0",,1,,,,
12,10,"0,0",,1,,,,
17,10,"78,59",,1,,,,
31,10,"39,82",,1,,,,
30,10,"93,41",,1,,,,
251,1,"19,28",,1,,,,
278,1,"75,92",,1,,,,
123,1,"74,33",,1,,,,
129,1,"0,0",,1,,,,
20,10,"74,07",,1,,,,
287,6,"0,0",,1,,,,
257,1,"50,50",,1,,,,
122,1,"52,76",,1,,,,
124,1,"97,87",,1,,,,
130,1,"0,0",,1,,,,
131,1,"0,0",,1,,,,
133,1,"0,0",,1,,,,
125,1,"0,0",,1,,,,
180,1,"0,0",,1,,,,
181,1,"0,0",,1,,,,
182,1,"0,0",,1,,,,
183,1,"0,0",,1,,,,
184,1,"0,0",,1,,,,
107,10,"0,0",,1,,,,
108,1,"0,0",,1,,,,
109,1,"0,0",,1,,,,
117,1,"86,00",,1,,,,
118,1,"86,90",,1,,,,
119,1,"0,0",,1,,,,
32,10,"0,0",,1,,,,
11,10,"0,0",,1,,,,
135,1,"80,94",,1,,,,
139,1,"0,0",,1,,,,
262,10,"0,0",,1,,,,
89,2,"36,10",,1,,,,
144,1,"0,0",,1,,,,
66,5,"0,00",,1,,,,
110,2,"76,30",,1,,,,
111,2,"40,66",,1,,,,
112,2,"0,0",,1,,,,
113,2,"0,0",,1,,,,
114,2,"0,0",,1,,,,
74,11,"20,60",,1,,,,
76,11,"18,00",,1,,,,
82,11,"0,0",,1,,,,
115,2,"23,80",,1,,,,
73,11,"100,0",,1,,,,
71,11,"15,90",,1,,,,
72,11,"0,0",,1,,,,
57,11,"16,50",,1,,,,
228,7,"0,00",,1,,,,
77,11,"13,60",,1,,,,
78,11,"0,0",,1,,,,
93,2,"28,69",,1,,,,
91,2,"8,02",,1,,,,
92,2,"0,0",,1,,,,
252,1,"0,0",,1,,,,
253,1,"0,0",,1,,,,
267,4,"0,0",,1,,,,
281,1,"0,0",,1,,,,
9,10,"0,0",,1,,,,
26,10,"84,36",,1,,,,
86,2,"9,18",,1,,,,
90,2,"17,86",,1,,,,
97,2,"0,0",,1,,,,
98,2,"0,0",,1,,,,
99,2,"0,0",,1,,,,
103,2,"0,0",,1,,,,
169,3,"52,04",,1,,,,
172,3,"39,97",,1,,,,
173,3,"0,0",,1,,,,
174,3,"0,0",,1,,,,
175,3,"0,0",,1,,,,
178,3,"0,0",,1,,,,
190,3,"63,52",,1,,,,
189,3,"87,50",,1,,,,
275,4,"76,10",,1,,,,
272,8,"79,57",,1,,,,
279,6,"81,12",,1,,,,
280,9,"0,0",,1,,,,
204,9,"0,0",,1,,,,
127,1,"0,0",,1,,,,
126,1,"0,0",,1,,,,
283,1,"0,0",,1,,,,
261,1,"0,0",,1,,,,
48,12,"0,0",,1,,,,
249,12,"0,0",,1,,,,
241,10,"0,0",,1,,,,
304,1,"0,0",,1,,,,
305,1,"0,0",,1,,,,
196,6,"0,0",,1,,,,
195,1,"0,0",,1,,,,
95,2,"59,61",,1,,,,
203,10,"70,87",,1,,,,
154,3,"0,0",,1,,,,
310,6,"0,0",,1,,,,
83,11,"0,0",,1,,,,
229,7,"0,0",,1,,,,
29,10,"76,34",,1,,,,
94,2,"0,0",,1,,,,
215,2,"0,0",,1,,,,
155,1,"95,00",,1,,,,
311,10,"97,00",,1,,,,
312,10,"0,0",,1,,,,
315,10,"0,0",,1,,,,
21,10,"26,10",,1,,,,
290,10,"89,00",,1,,,,
101,2,"0,0",,1,,,,
276,6,"100,00",,1,,,,
102,2,"0,0",,1,,,,
153,10,"0,0",,1,,,,
277,9,"18,01",,1,,,,
285,6,"0,0",,1,,,,
286,9,"0,0",,1,,,,
284,9,"0,0",,1,,,,
192,1,"0,0",,1,,,,
230,7,"0,0",,1,,,,
33,10,"90,10",,1,,,,
34,10,"76,88",,1,,,,
45,10,"0,0",,1,,,,
43,10,"74,40",,1,,,,
227,7,"93,30",,1,,,,
288,8,"0,0",,1,,,0,
314,8,"0,0",,1,,,,
